618: 639,247,527,668,203,227,94
619: 702,76,40,564,479,528
620: 763,673,87,515,661,224,21
621: 305,180,514,474,543,314
622: 198,143,91,407,218
623: 197,632,523,348,414,378,388
624: 149,120,648,416,726,335
625: 551,306,388,523,309,512
626: 733,164,109,319,146,242
627: 175,647,142,579,759,220,165
628: 179,48,108,764,304,315
629: 130,344,653,121,686
630: 462,136,477,609,213
631: 171,360,507,73,450,429
632: 623,348,414,378,77,529
633: 706,151,476,124,238,421,144
634: 38,39,31,566,14,439
635: 459,745,549,231,753,396,263
636: 691,580,533,267,516,645,567
637: 638,233,407,50,442,198
638: 233,637,558,198,592
639: 247,527,618,45,75,203,227
640: 718,577,211,286,305
641: 37,755,205,265,738
642: 724,66,260
643: 52,83,46,38,31
644: 200,62,380,196,538
645: 497,516,555,636,337,567
646: 211,595,48,764,10,241
647: 142,627,717,365,759,220,165
648: 149,624,335,542,296,169
649: 16,453,696,319,146
650: 455,329,327,357,515,661
651: 323,499,605,720,500,156,312
652: 234,489,427,166,563,302
653: 130,121,629,594,194,506
654: 715,468,173,263,549,397
655: 302,249,185,575,664
656: 606,80,53,694,470,8,228
657: 399,597,40,348,507
658: 285,378,388,391,681,306
659: 697,557,347
660: 359,253,721,741,262,420,317,235
661: 620,673,157,515,650,327,386
662: 77,409,133,586,279,42,748,545
663: 671,296,250,325,169,521
664: 575,532,427,302,655
665: 460,310,450,308,429
666: 368,366,589
667: 77,540,522,409,529,73
668: 428,247,618,420,508,94
669: 253,397,715,464,235,281
670: 521,103,551,578,542,169
671: 163,296,250,663,54
672: 162,593,167,562,749
673: 620,157,87,515,96,661
674: 0,723,364,181,698,765,191
675: 443,137,307,303,731,26,245
676: 268,724
677: 215,411,461,531,95
678: 556,118,481,459,236,47
679: 565,596,226,384,614,199,767
680: 134,112,463,358,18,86
681: 414,285,378,658,254
682: 337,141,547,295,509,340
683: 6,395,470,744,606,353
684: 58,727,736,63,531
685: 51,347,38,39
686: 130,344,629,106,330,511
687: 28,272,546,463,595,179
688: 467,245,98,137,129,456
689: 440,466,452,318,283,114
690: 590,727,736,69,56
691: 49,71,580,615,636,533
692: 275,417,501,65,207,465
693: 215,411,574
694: 656,606,470,750,192,8
695: 252,14,611,697,557
696: 453,649,331,146,520
697: 659,557,223,452,695,611
698: 255,765,674,191
699: 428,247,527,386,157,96,742
700: 438,257,732,17,602,9,208
701: 302,249,493,709,177,603,563
702: 139,178,76,619,528,282
703: 154,518,122,371,389,216
704: 588,351,457,212
705: 757,473,29,102
706: 437,151,375,476,633,230
707: 495,82,37
708: 607,267,410,608,70,404
709: 553,249,493,701,177
710: 0,491,295,723,509
711: 394,35,191,400,181
712: 220,532,165,616,25
713: 455,329,126,324,485
714: 103,306,379,578,438,391
715: 654,173,464,669,397
716: 85,343,394,170,244
717: 554,365,57,759,174,214,647
718: 640,219,577,339
719: 742,544,119,475,327,386
720: 605,608,70,75,159,651,499
721: 359,741,660,87,262
722: 117,564,480,432,19
723: 0,295,710,674,364
724: 268,676,642,345,66
725: 338,408,435,154,122
726: 149,120,624,284,602
727: 690,684,736,63,176,69
728: 189,227,94,105,246
729: 502,259,752,458,33
730: 161,478,183,614,123,199
731: 675,307,303,545,522
732: 257,700,230,9,431,208
733: 43,626,164,274,232,242
734: 278,612,474,558
735: 61,538,24,492,448,598
736: 690,684,132,58,590,727,760
737: 412,395,535,587,744,57
738: 152,34,205,641
739: 517,596,90,402,291,767
740: 490,107,604,88,338,204
741: 359,253,721,660,235
742: 719,119,386,527,699
743: 124,238,27,617,753,22,231
744: 683,6,412,395,470,737
745: 571,635,273,481,459,421,396
746: 234,494,427,24,492,616
747: 290,99,446,294,36,541
748: 254,236,47,279,42,662
749: 593,562,672,350,153
750: 395,470,587,694,192,172
751: 757,403,109,29,319
752: 729,502,100,458
753: 743,238,22,396,231,635
754: 116,537,104,62
755: 37,641
756: 350,239,449,60
757: 403,751,705,29,102
758: 79,487,582,270
759: 717,25,214,220,165,647,627
760: 132,590,736,200,111
761: 324,69,513,56,357,158
762: 43,274,355,80,271
763: 620,87,21,493,359
764: 628,48,315,646,211
765: 698,0,674
766: 490,313,604,367,92,336
767: 123,291,199,739,679,596,226
768: 467,93,245,471,303,328
