288: 403,29,16
289: 193,26,451,72,32,568,443
290: 541,36,398,432,139,369,599
291: 199,517,90,596,402,442,123
292: 390,100
293: 322,487,270,313,107,204
294: 332,265,205,541,36,446,243
295: 0,491,509,340,364
296: 163,250,542,335,325,169
297: 20,355,353,190,102,186
298: 160,51,84
299: 334,342,405,406,387,126
300: 321,215,436,95,539,423
301: 89,486,559,576,54,250,393
302: 177,249,575,234,427,563
303: 137,245,307,540,522,545,471,360
304: 315,478,183,425,97,108,48
305: 314,180,577,286,362
306: 521,103,551,512,388,391,309
307: 443,137,303,133,548,409,545
308: 310,528,282,399,507,450
309: 117,564,388,512,306,523,479
310: 308,282,450,460,86,44
311: 264,209,330,456,129,101
312: 106,506,382,594,156,323,115
313: 270,64,107,336,92,490,293
314: 305,180,530,577,543,278
315: 286,362,478,304,211,48
316: 255,35,170,394
317: 508,519,420,72,253,262,235
318: 113,448,114,452,252,466
319: 109,242,164,403,453,146
320: 128,510,212,372,457
321: 300,436,251,334,390
322: 482,487,41,293,240,204
323: 547,115,159,499,156,605,312
324: 69,406,513,455,357
325: 521,169,512,250,296,472,486
326: 387,458,33,110,126,485
327: 157,515,352,329,475,119,386
328: 171,229,429,471,360,210,93
329: 352,455,485,327,357,515,475
330: 264,311,101,106,130,511,344
331: 146,520,453,7
332: 205,294,600,358,36,573
333: 561,349,473
334: 390,299,342,405,321,436
335: 248,120,416,149,542,163,296
336: 367,434,92,64,313
337: 516,555,509,567,404,141
338: 88,13,435,604,154,408
339: 374,219,530,577
340: 547,141,115,509,295,364,195
341: 15,147,426,549,376,468
342: 334,390,299,100,387,458
343: 85,394,400,121,277,385
344: 572,511,569,330,130,121,277
345: 268,66,482,41,222
346: 240,125,54,484,559,377,433
347: 38,39,14,557
348: 197,597,523,479,40,529,399
349: 190,473,430,333,561
350: 153,562,275,60,239,187,593
351: 28,212,372,241,10,373,588
352: 110,329,485,327,383,475,526
353: 355,297,53,83,186,6,552
354: 133,32,281,548,524,586,173
355: 274,20,297,53,353,80
356: 210,467,93,129,503,68
357: 224,515,324,158,513,455,329
358: 369,112,36,134,573,332
359: 253,262,496,493,87,21
360: 171,328,507,471,303,540,73
361: 259,55,525,33,110,383
362: 161,286,315,478,138,305,180
363: 550,81,256,127,276,287,280
364: 191,181,195,340,0,295
365: 220,142,214,554,174,57,25
366: 592,589,368,558
367: 488,434,336,280,92,287,216
368: 474,558,366
369: 139,112,358,36,290
370: 28,372,23,272,152,510
371: 154,216,122,225,256,389,280
372: 28,212,351,370,510,320,588
373: 588,241,351,374
374: 339,219,241,373
375: 465,437,151,447,9,230
376: 468,397,426,553,341,496
377: 74,222,433,240,346,482
378: 285,388,254,414,197,523
379: 431,208,584,438,12,391,103
380: 62,534,461,58,200
381: 193,246,26,98,209,456
382: 106,312,498,156,189,101
383: 424,266,526,110,352,361,525
384: 425,444,229,565,199,226
385: 218,91,277,569,85,343,244
386: 428,119,247,527,327,157,96
387: 326,458,299,342,126
388: 285,378,391,306,523,309
389: 518,153,415,225,122,371
390: 334,342,321,292,251,100
391: 12,285,388,379,103,306
392: 534,411
393: 74,433,213,301,454,559,576
394: 170,85,343,35,400,316
395: 6,412,57,535,470,587
396: 231,421,481,459,571,238
397: 376,468,464,235,253,496
398: 541,99,290,89,454,432,599
399: 308,528,73,597,40,348,507,450
400: 194,121,35,181,394,343
401: 145,441,477,136,583,11
402: 91,407,419,291,90,442
403: 288,29,16,453,109,319
404: 410,70,267,567,337,141,159
405: 334,299,436,63,176,406
406: 324,69,176,299,405,455,126
407: 218,91,402,143,442,198
408: 248,416,483,338,13,435
409: 47,279,42,133,307,522,545
410: 217,404,70,266,184,267
411: 392,534,215,95,461
412: 52,6,395,552,202,554,57
413: 581,589,244,150
414: 77,73,529,254,42,378,197
415: 182,239,449,140,225,389,153
416: 248,120,335,408,483,149
417: 275,501,65,271,207
418: 146,520,242,232,182,449
419: 570,572,569,90,91,402
420: 508,317,96,262,428
421: 396,571,238,124,151,144,476
422: 113,448,214,24,25,598,532
423: 300,539
424: 383,266,45,526,544,217
425: 384,444,97,199,478,183,304
426: 185,249,553,15,341,376
427: 25,492,532,165,234,302,575
428: 247,386,94,96,508,420
429: 171,229,328,450,444,460
430: 190,349,186,160,561,84
431: 379,208,144,230,476,584,438
432: 89,19,480,599,398,290
433: 74,377,393,346,559
434: 367,488,336,237
435: 338,518,154,122,408,483
436: 300,321,95,63,334,405
437: 465,151,375,585,201,124
438: 257,17,431,379,208,103,578
439: 113,252,39,566,174
440: 283,537,114,104
441: 401,477,583,82,243
442: 50,198,123,291,402,407
443: 137,307,548,568,26,289
444: 425,384,97,460,229,429
445: 49,580,497
446: 541,99,462,477,294,243
447: 187,155,207,9,465,375
448: 318,113,422,61,466,24,598
449: 182,415,239,418,232,60
450: 171,429,507,310,308,399,460
451: 508,72,94,105,193,289
452: 223,14,557,252,283,114,318
453: 16,403,319,331,146
454: 89,576,213,393,99,398,462
455: 126,329,485,324,406,357
456: 209,311,129,381,98,467
457: 588,212,320
458: 326,387,33,502,342,100
459: 396,231,118,481,571,549,263
460: 444,97,429,450,310,44
461: 531,58,534,411,380,95
462: 477,136,454,213,99,446
463: 179,86,546,18,134,272
464: 468,397,263,235,173,281
465: 437,375,65,201,207,447
466: 196,61,104,114,318,448
467: 356,93,98,245,456,129
468: 549,376,397,263,464,341
469: 74,222,66,145,136
470: 192,587,6,395,53,8
471: 328,360,245,303,540,93
472: 117,480,325,512,486
473: 190,102,349,333,29
474: 368,558,514,543,278
475: 526,544,352,329,327,119
476: 431,144,230,151,421
477: 462,401,441,136,446,243
478: 161,362,315,183,304,425
479: 197,523,40,348,564,309
480: 117,19,472,89,486,432,599
481: 396,118,273,459,571,144,236,556
482: 322,41,240,377,222,345
483: 120,408,416,162,518,435
484: 163,54,248,13,125,346
485: 110,352,455,126,329,326
486: 89,301,325,250,472,480
487: 322,41,293,79,258
488: 367,434,504,287,237
489: 111,494,590,234,56,166,563
490: 604,154,92,313,107
491: 0,295,269,509
492: 598,427,532,494,24,234
493: 177,249,553,603,21,359,496
494: 538,111,489,200,24,234,492
495: 82,583,11
496: 359,253,493,553,376,397
497: 445,516,555
498: 382,156,189,246,209,101
499: 70,75,605,323,159
500: 156,203,227,189,605,75
501: 275,232,60,417,43,271
502: 458,33,221,100,259
503: 565,517,226,68,596,210,356
504: 127,287,488,237
505: 49,59,71
506: 312,594,115,195,130,194
507: 171,360,450,73,597,308,399
508: 451,317,420,72,428,94
509: 269,337,141,340,491,295
510: 128,320,152,372,370
511: 570,572,344,264,330,68
512: 521,325,306,117,309,472
513: 158,56,166,324,69,357,224
514: 233,474,558,543,138,180
515: 327,357,224,157,329
516: 555,337,580,567,497
517: 291,90,503,68,596,570
518: 162,389,153,562,122,483,435
519: 317,72,253,235,32,281
520: 331,146,418,30,7,182
521: 325,103,551,169,512,306
522: 77,540,545,409,42,303
523: 197,479,348,378,388,309
524: 354,586,173,118,236
525: 361,601,55,383,266,184
526: 383,424,475,544,110,352
527: 119,247,386,45,544,203
528: 308,282,399,40,178
529: 414,77,73,197,597,348
530: 314,577,339
531: 461,132,63,58,95,176
532: 25,598,492,427,165,422
533: 71,184,580,267,567,49
534: 392,62,411,380,461
535: 172,587,57,395,560
536: 78,81,276
537: 440,116
538: 200,494,24,196,61
539: 300,215,574,423
540: 77,73,522,545,303,471,360
541: 36,99,446,398,290,294
542: 149,17,602,335,169,578,296
543: 474,514,314,180,278
544: 424,45,475,526,119,527
545: 540,522,133,409,303,307
546: 108,179,463,86,44
